BNP FP Equity,PX_LAST,6MO_PUT_IMP_VOL
202023,48.34,20.311
202024,49.29,20.193
202025,49.61,19.438
202026,50.41,19.905
202027,51.83,19.684
2020210,51.64,19.81
2020211,52.73,19.51
2020212,53.58,19.58
2020213,53.57,19.811
2020214,53.68,19.889
2020217,54.18,19.24
2020218,53.67,20.031
2020219,53.75,20.05
2020220,53.26,20.033
2020221,53.22,20.246
2020224,51.2,22.091
2020225,48.7,24.649
2020226,48.22,24.166
2020227,45.39,27.251
2020228,43.79,30.242
202032,43.46,30.276
202033,42.81,30.141
202034,42.25,29.124
202035,40.52,31.039
202036,38.52,38.144
202039,33.79,42.828
2020310,34.63,45.283
2020311,35.66,45.752
2020312,31,50.157
2020313,31.73,59.164
2020316,27.44,68.594
2020317,29.2,66.704
2020318,26.4,66.976
2020319,27.19,68.934
2020320,27.44,63.529
2020323,25.43,63.35
2020324,27.78,54.029
2020325,30,47.71
2020326,30.98,46.63
2020327,29.88,49.282
2020330,28.25,48.397
2020331,27.51,46.089
202041,25.87,49.499
202042,26.05,47.278
202043,24.74,48.908
202046,25.65,46.307
202047,26.75,45.078
202048,26.96,45.385
202049,28.41,43.358
2020414,27.81,44.167
2020415,25.82,49.282
2020416,24.9,51.947
2020417,25.47,51.915
2020420,25.7,51.494
2020421,24.67,51.991
2020422,25.54,50.03
2020423,27.13,48.173
2020424,26.3,49.34
2020427,27.79,45.905
2020428,29.6,43.799
2020429,30.7,42.842
2020430,28.68,44.792
202054,27.11,47.312
202055,28.21,47.217
202056,28,44.697
202057,28.5,44.218
202058,28.82,42.599
2020511,28.1,45.137
2020512,27.82,41.041
2020513,26.5,43.969
2020514,26.23,48.018
2020515,26.54,46.157
2020518,28.62,41.12
2020519,28.35,43.006
2020520,28.82,41.153
2020521,28.29,44.859
2020522,28.38,45.186
2020525,28.91,42.624
2020526,31,41.974
2020527,33.74,40.029
2020528,33.7,39.513
2020529,32.26,44.725
202061,33.49,41.885
202062,34.48,41.536
202063,36.15,42.354
202064,36.02,40.122
202065,39.12,37.706
202068,39.45,35.798
202069,38.16,38.95
2020610,37.35,38.735
2020611,34.75,42.962
2020612,34.97,45.272
2020615,34.3,46.363
2020616,36.01,45.825
2020617,35.96,43.737
2020618,35.82,43.546
2020619,35.3,44.295
2020620,34.34,44.295
2020621,35.11,44.295
2020622,34.57,44.295
2020623,34.15,44.295
2020624,34.67,44.295
2020625,34.19,44.295
2020626,35.34,44.295
2020627,35.09,44.295
2020628,34.98,44.295
2020629,34.49,44.295
2020630,34.61,44.295
2020631,34.74,44.295
2020632,34.41,44.295
2020633,34.7,44.295
2020634,34.52,44.295
2020635,34.28,44.295
2020636,35.27,44.295
2020637,35.3,44.295
2020638,35.48,44.295
2020639,34.85,44.295
2020640,34.93,44.295
2020641,35.06,44.295
2020642,35.42,44.295
2020643,35.59,44.295
2020644,35.53,44.295
2020645,35.61,44.295
2020646,35.77,44.295
2020647,35.8,44.295
2020648,35.7,44.295
2020649,34.56,44.295
2020650,34.17,44.295
2020651,33.6,44.295
2020652,34.34,44.295
2020653,34.59,44.295
2020654,34.51,44.295
2020655,34.36,44.295
2020656,34.25,44.295
2020657,34.4,44.295
2020658,34.94,44.295
2020659,34.17,44.295
2020660,34.86,44.295
2020661,35.21,44.295
2020662,35.54,44.295
2020663,36.12,44.295
2020664,36.07,44.295
2020665,36.56,44.295
2020666,36.6,44.295
2020667,36.71,44.295
2020668,35.99,44.295
2020669,36.08,44.295
2020670,36.14,44.295
2020671,37.17,44.295
2020672,37.71,44.295
2020673,37.08,44.295
2020674,37.17,44.295
2020675,37.55,44.295
2020676,37.41,44.295
2020677,38.59,44.295
2020678,37.91,44.295
2020679,37.4,44.295
2020680,37.33,44.295
2020681,38.04,44.295
2020682,38.09,44.295
2020683,37.89,44.295
2020684,36.72,44.295
2020685,36.93,44.295
2020686,37.72,44.295
2020687,37.58,44.295
2020688,37.76,44.295
2020689,37.23,44.295
2020690,36.12,44.295
2020691,36.81,44.295
2020692,37.19,44.295
2020693,38.06,44.295
2020694,38.56,44.295
2020695,38.24,44.295
2020696,39.1,44.295
2020697,39.43,44.295
2020698,38.42,44.295
2020699,38.07,44.295
2020700,37.87,44.295
2020701,37.83,44.295
2020702,37.83,44.295
2020703,37.92,44.295
2020704,37.99,44.295
2020705,38.45,44.295
2020706,38.55,44.295
2020707,38.26,44.295
2020708,38.33,44.295
2020709,38.53,44.295
2020710,37.11,44.295
2020711,38.29,44.295
2020712,38.46,44.295
2020713,38.55,44.295
2020714,37.89,44.295
2020715,38.04,44.295
2020716,37.61,44.295
2020717,37.23,44.295
2020718,36.57,44.295
2020719,35.81,44.295
2020720,36.69,44.295
2020721,37.36,44.295
2020722,36.71,44.295
2020723,36.86,44.295
2020724,36.92,44.295
2020725,36.25,44.295
2020726,36.85,44.295
2020727,36.6,44.295
2020728,36.08,44.295
2020729,36.35,44.295
2020730,36.28,44.295
2020731,37.26,44.295
2020732,37.56,44.295
2020733,37.98,44.295
2020734,38.48,44.295
2020735,37.74,44.295
2020736,37.34,44.295
2020737,36.87,44.295
2020738,36.37,44.295
2020739,35.65,44.295
2020740,35.44,44.295
2020741,34.7,44.295
2020742,35.17,44.295
2020743,35.31,44.295
2020744,36.07,44.295
2020745,35.61,44.295
2020746,36.14,44.295
2020747,35.69,44.295
2020748,35.68,44.295
2020749,36.22,44.295
2020750,35.06,44.295
2020751,35.06,44.295
2020752,34.01,44.295
2020753,33.99,44.295
2020754,33.57,44.295
2020755,34.03,44.295
2020756,34.69,44.295
2020757,34.33,44.295
2020758,34.53,44.295
2020759,34.38,44.295
2020760,34.26,44.295
2020761,33.8,44.295
2020762,34.01,44.295
2020763,33.82,44.295
2020764,34.48,44.295
2020765,34.02,44.295
2020766,34.46,44.295
2020767,34.84,44.295
2020768,35.02,44.295
2020769,35.09,44.295
2020770,35.4,44.295
2020771,35.13,44.295
2020772,34.27,44.295
2020773,34.08,44.295
2020774,33.96,44.295
2020775,34.36,44.295
2020776,34.34,44.295
2020777,34.63,44.295
2020778,34.9,44.295
2020779,34.79,44.295
2020780,34.25,44.295
2020781,34.33,44.295
2020782,34.36,44.295
2020783,34.41,44.295
2020784,34.83,44.295
2020785,34.68,44.295
2020786,34.82,44.295
2020787,34.15,44.295
2020788,34,44.295
2020789,33.76,44.295
2020790,33.18,44.295
2020791,32.78,44.295
2020792,32.96,44.295
2020793,33.05,44.295
2020794,34.24,44.295
2020795,34.03,44.295
2020796,34.19,44.295
2020797,33.49,44.295
2020798,33.1,44.295
2020799,32.4,44.295
2020800,32.27,44.295
2020801,31.82,44.295
2020802,32.26,44.295
2020803,32.54,44.295
2020804,32.17,44.295
2020805,32.81,44.295
2020806,32.43,44.295
2020807,32.64,44.295
2020808,32.46,44.295
2020809,32.53,44.295
2020810,32.69,44.295
2020811,33.22,44.295
2020812,33.08,44.295
2020813,33.12,44.295
2020814,33.38,44.295
2020815,33.28,44.295
2020816,33.02,44.295
2020817,33.2,44.295
2020818,33.48,44.295
2020819,33,44.295
2020820,32.64,44.295
2020821,32.14,44.295
2020822,32,44.295
2020823,32.04,44.295
2020824,31.96,44.295
2020825,32.51,44.295
2020826,32.4,44.295
